order_id,customer_id,customer_name,customer_email,customer_city,product_name,category,sub_category,brand,size,color,gender,mrp,price,quantity,total_amount,order_date,rating,review_text,review_count,payment_method,delivery_status,delivery_days,is_returned,return_reason,coupon_applied,discount_amount,is_myntra_insider,order_date_str
MY160734,CUST35833,Customer_A923,user3973@example.com,Ahmedabad,Global Desi Suit,Lingerie,Loungewear,Titan,10,Black,Female,5738.05,3999.0,2,7998.0,2025-09-14 01:51:00.135969,5.0,,224,Net Banking,Returned,16,False,,,0.0,False,2025-09-14
MY807161,CUST92950,Customer_B559,user6246@example.com,Pune,Nike Leggings,Lingerie,Loungewear,Fastrack,XS,Yellow,Unisex,2815.44,499.8,1,499.8,2025-09-02 01:51:00.135969,4.0,,210,Net Banking,In Transit,19,False,,,0.0,False,2025-09-02
MY895623,CUST12380,Customer_D689,user8631@example.com,Ahmedabad,Voylla Jewelry Set,Accessories,Watches,,XL,Green,Female,2223.72,1499.0,5,7495.0,2025-12-25 01:51:00.135969,5.0,Not satisfied,345,Debit Card,Delivered,16,False,,FREESHIP,256.5579239865878,False,2025-12-25
MY424816,CUST13519,Customer_A919,user6867@example.com,Ahmedabad,Voylla Jewelry Set,Kids' Wear,Infant Wear,Vero Moda,6,Grey,Female,2990.15,1499.0,4,5996.0,2026-01-12 01:51:00.135969,5.0,Great product!,256,Myntra Credit,In Transit,14,False,,FREESHIP,50.88208462973361,True,2026-01-12
MY443099,CUST87929,Customer_A586,user1690@example.com,Pune,Woodland Boots,Men's Clothing,Trousers,Fastrack,XS,Navy Blue,Male,11193.44,5999.0,1,5999.0,2025-08-08 01:51:00.135969,4.0,Worth the money,295,COD,Delivered,5,True,Damaged,WELCOME20,468.5215697132446,False,2025-08-08
MY175075,CUST17429,Customer_D79,user8872@example.com,Delhi,Sassafras Dress,Western Wear,Skirts,Adidas,4XL,Purple,Female,3142.57,1599.0,4,6396.0,2026-03-11 01:51:00.135969,5.0,Worth the money,450,Gift Card,In Transit,13,False,,WELCOME20,479.21554553186195,False,2026-03-11
MY803695,CUST87980,Customer_C964,user6079@example.com,Ahmedabad,Roadster T-Shirt,Men's Clothing,Sweaters,Maybelline,5XL,Grey,Female,904.19,799.0,1,799.0,2026-02-06 01:51:00.135969,4.0,,85,Myntra Credit,Out for Delivery,7,False,,WELCOME20,95.68979344585837,True,2026-02-06
MY235464,CUST66469,Customer_A478,user9703@example.com,Mumbai,Manyavar Sherwani,Lingerie,Shapewear,HRX,10,Red,Female,28227.87,14999.0,4,59996.0,2025-04-24 01:51:00.135969,4.0,Average,212,COD,Delivered,14,False,,,0.0,False,2025-04-24
MY397770,CUST28249,Customer_B891,user7560@example.com,Chennai,Biba Kurta,Sports Wear,Shorts,Anouk,XXL,Green,Male,2877.26,2499.0,4,9996.0,2025-07-31 01:51:00.135969,3.0,,219,Debit Card,Cancelled,18,False,,,0.0,False,2025-07-31
MY703315,CUST53148,Customer_B536,user9761@example.com,Bangalore,Sassafras Dress,Kids' Wear,Girls Clothing,Roadster,3XL,Teal,Female,2824.16,1599.0,2,3198.0,2026-03-02 01:51:00.135969,1.0,Excellent!,47,UPI,Delivered,2,False,,SUMMER30,96.49757641909171,False,2026-03-02
MY841702,CUST92399,Customer_A447,user8990@example.com,Delhi,HRX Graphic Tee,Western Wear,Jeans,Fastrack,9,Brown,Female,927.42,699.0,1,699.0,2025-12-03 01:51:00.135969,5.0,,319,EMI,Delivered,12,False,,SUMMER30,39.56693599211622,False,2025-12-03
MY683136,CUST87378,Customer_D134,user7343@example.com,Delhi,Fastrack Watch,Accessories,Hats,Titan,M,Grey,Female,4573.65,2499.0,5,12495.0,2025-11-25 01:51:00.135969,5.0,,261,EMI,Delivered,15,False,,,0.0,False,2025-11-25
MY179836,,Customer_B637,user1805@example.com,Delhi,Decathlon Shorts,Lingerie,Loungewear,Wrangler,S,Maroon,Female,1189.48,799.0,5,3995.0,2025-05-23 01:51:00.135969,5.0,Delivery was late,470,COD,Delivered,15,False,,FESTIVE40,130.40200070936137,False,2025-05-23
MY696376,CUST30181,Customer_D910,user2790@example.com,Hyderabad,Manyavar Sherwani,Kids' Wear,Boys Clothing,Biba,9,Blue,Female,24671.86,14999.0,4,59996.0,2025-11-21 01:51:00.135969,4.0,Delivery was late,41,Myntra Credit,Delivered,17,False,,,0.0,False,2025-11-21
MY367191,CUST73811,Customer_D65,user2567@example.com,Mumbai,Sassafras Dress,Women's Clothing,Tops,Anouk,S,Navy Blue,Male,1921.41,1599.0,2,3198.0,2025-05-23 01:51:00.135969,4.0,,70,Gift Card,Delivered,4,False,,,0.0,True,2025-05-23
MY878021,CUST73307,Customer_B524,user1592@example.com,Hyderabad,Puma Sports Shoes,Footwear,Formal Shoes,Anouk,3XL,Brown,Male,6837.56,3999.0,2,7998.0,2025-08-16 01:51:00.135969,3.0,,295,UPI,Delivered,11,False,,FREESHIP,1101.8483118024562,False,2025-08-16
MY105560,CUST62318,Customer_C394,user9320@example.com,Bangalore,Titan Watch,Sports Wear,Sports Bra,Manyavar,S,Teal,Unisex,6964.31,1799.7,3,5399.1,2026-03-07 01:51:00.135969,5.0,,219,Debit Card,Delivered,4,False,,,0.0,False,2026-03-07
MY731080,CUST21184,Customer_D189,user1602@example.com,Kolkata,HRX Track Pants,Ethnic Wear,Salwar Suits,Maybelline,7,Teal,Male,2421.18,1299.0,2,2598.0,2025-10-29 01:51:00.135969,5.0,,426,Myntra Credit,Delivered,7,True,Late delivery,,0.0,False,2025-10-29
MY264837,CUST28160,Customer_D227,user6904@example.com,Kolkata,Maybelline Foundation,Accessories,Jewelry,Levis,L,Yellow,Unisex,1459.22,799.0,2,1598.0,2025-09-23 01:51:00.135969,4.0,Perfect fit,71,EMI,Delivered,2,False,,,0.0,False,2025-09-23
MY101599,CUST85546,Customer_E278,user4479@example.com,Mumbai,Biba Kurta,Lingerie,Shapewear,Fastrack,3XL,Orange,Male,4554.54,2499.0,2,4998.0,2026-03-07 01:51:00.135969,3.0,,273,Net Banking,Delivered,3,False,,WELCOME20,351.93715978288265,False,2026-03-07
MY342397,CUST60239,Customer_B318,user5820@example.com,Ahmedabad,Adidas Sports Bra,Ethnic Wear,Sherwanis,,3XL,Pink,Female,2849.02,1899.0,3,5697.0,2025-08-05 01:51:00.135969,5.0,,231,Myntra Credit,Out for Delivery,19,False,,MYNTRA10,319.4103142322457,False,2025-08-05
MY342397,CUST27439,Customer_E989,user9583@example.com,Bangalore,Nike Leggings,Accessories,Bags,Wrangler,6,Blue,Male,4210.96,2499.0,2,4998.0,2025-07-02 01:51:00.135969,3.0,,317,Net Banking,Delivered,1,False,,,0.0,True,2025-07-02
MY149789,CUST99396,Customer_A391,user5494@example.com,Hyderabad,Nike Running Shoes,Footwear,Casual Shoes,Nykaa,3XL,Red,Male,7854.97,5999.0,4,23996.0,2025-09-23 01:51:00.135969,2.0,Delivery was late,398,Debit Card,Delivered,15,False,,,0.0,False,23/09/2025
MY430877,CUST75987,Customer_C655,user8618@example.com,Bangalore,Nykaa Lipstick,Lingerie,Panties,Jack & Jones,XXL,Blue,Female,705.86,599.0,4,2396.0,2025-06-06 01:51:00.135969,5.0,,347,EMI,Delivered,6,True,Quality issue,,0.0,True,06/06/2025
MY842644,CUST92880,Customer_A140,user8795@example.com,Hyderabad,Peter England Jacket,Footwear,Casual Shoes,Titan,3XL,Pink,Male,6957.57,3999.0,3,11997.0,2025-04-19 01:51:00.135969,5.0,,374,Credit Card,In Transit,4,False,,,0.0,False,2025-04-19
MY206595,CUST21968,Customer_D945,user1388@example.com,Bangalore,Maybelline Foundation,Beauty & Personal Care,Makeup,Sassafras,6,Brown,Female,1259.23,799.0,2,1598.0,2025-07-09 01:51:00.135969,4.0,,264,Credit Card,Delivered,17,True,Damaged,,0.0,False,2025-07-09
MY352357,CUST72716,Customer_B643,user8155@example.com,Hyderabad,Forest Essentials Cream,Footwear,Flip Flops,Fastrack,9,Blue,Male,4271.05,2499.0,1,2499.0,2025-04-13 01:51:00.135969,3.0,,183,Gift Card,Delivered,1,False,,,0.0,False,2025-04-13
MY348642,CUST16879,Customer_B483,user676@example.com,Ahmedabad,Vero Moda Blouse,Ethnic Wear,Sherwanis,Nike,6,Green,Female,2740.58,4812.94,3,14438.81,2025-04-14 01:51:00.135969,4.0,,156,Invalid Method,Delivered,4,True,Quality issue,,0.0,False,2025-04-14
MY377335,CUST83369,Customer_A560,user2527@example.com,Kolkata,Peter England Jacket,Accessories,Sunglasses,HRX,3XL,Purple,Male,4445.89,3999.0,5,19995.0,2025-05-19 01:51:00.135969,4.0,,88,UPI,Returned,1,False,,MYNTRA10,653.3134249197689,False,2025-05-19
MY265593,CUST17888,Customer_A282,user2125@example.com,Chennai,Puma Gym T-Shirt,Women's Clothing,Sarees,Vero Moda,,Brown,Female,1247.41,999.0,2,1998.0,2025-08-31 01:51:00.135969,5.0,,269,Net Banking,Out for Delivery,16,False,,,0.0,False,2025-08-31
MY224341,CUST69137,Customer_A341,user6472@example.com,Bangalore,Roadster T-Shirt,Kids' Wear,Infant Wear,Manyavar,9,Maroon,Unisex,1347.45,799.0,2,1598.0,2025-07-25 01:51:00.135969,1.0,,97,Gift Card,Delivered,11,False,,,0.0,False,2025-07-25
MY123151,CUST24994,Customer_B809,user6398@example.com,Pune,American Tourister Bag,Ethnic Wear,Lehengas,Fastrack,10,Pink,Unisex,6832.07,3999.0,1,3999.0,2025-07-15 01:51:00.135969,5.0,Excellent!,182,EMI,Returned,0,False,,SUMMER30,767.4687615097379,True,2025-07-15
MY456811,CUST39684,Customer_E691,user66@example.com,Pune,Decathlon Shorts,Beauty & Personal Care,Makeup,Jack & Jones,10,Red,Male,1206.77,799.0,4,3196.0,2025-11-22 01:51:00.135969,5.0,,52,EMI,Out for Delivery,16,False,,,0.0,False,2025-11-22
MY699129,CUST62996,Customer_B881,user8721@example.com,Delhi,Adidas Casual,Men's Clothing,Trousers,Anouk,10,Blue,Male,7002.01,4499.0,1,4499.0,2025-09-20 01:51:00.135969,4.0,Delivery was late,449,COD,Delivered,3,True,Quality issue,FLAT50,750.245956479357,False,2025-09-20
MY279549,CUST19135,Customer_E253,user6088@example.com,Hyderabad,W Kurti,Ethnic Wear,Lehengas,Lakme,10,Blue,Female,1574.88,1169.1,3,3507.3,2026-02-05 01:51:00.135969,4.0,,351,Debit Card,Delivered,19,False,,FREESHIP,196.11484985982761,True,2026-02-05
MY834290,CUST71083,Customer_D486,user4622@example.com,Pune,HRX Track Pants,Ethnic Wear,Kurtas,Nike,6,Pink,Female,2449.16,1299.0,3,3897.0,2026-02-25 01:51:00.135969,-1.0,,64,Debit Card,Delivered,18,True,Wrong product,,0.0,True,2026-02-25
MY543087,CUST81914,Customer_E675,user509@example.com,Bangalore,Bata Sandals,Sports Wear,Shorts,Maybelline,5XL,Maroon,Female,2414.55,1299.0,2,2598.0,2026-01-02 01:51:00.135969,2.0,,485,EMI,In Transit,19,False,,,0.0,True,2026-01-02
MY431276,CUST98961,Customer_A44,user2329@example.com,Pune,Global Desi Suit,Kids' Wear,Girls Clothing,Anouk,7,Orange,Male,5733.96,3999.0,4,15996.0,2026-04-02 01:51:00.135969,3.0,Perfect fit,431,Debit Card,Delivered,10,False,,MYNTRA10,927.4376312709937,True,2026-04-02
MY551613,CUST31280,Customer_C226,user1282@example.com,Hyderabad,Manyavar Sherwani,Western Wear,Skirts,Wrangler,7,Black,Unisex,29405.78,14999.0,1,14999.0,2026-02-01 01:51:00.135969,4.0,,228,EMI,Returned,19,False,,,0.0,False,2026-02-01
MY167978,CUST45650,Customer_E79,user7882@example.com,Chennai,Peter England Jacket,Footwear,Sports Shoes,Manyavar,XL,Pink,Unisex,4640.26,3999.0,4,15996.0,2025-09-06 01:51:00.135969,4.0,,389,EMI,Delivered,4,False,,WELCOME20,103.77264852832279,True,2025-09-06
MY791766,CUST35063,Customer_A869,user3136@example.com,Ahmedabad,Nike Running Shoes,Lingerie,Panties,Anouk,M,Blue,Female,9370.41,5999.0,4,23996.0,2025-05-29 01:51:00.135969,5.0,,496,Debit Card,Delivered,10,False,,FESTIVE40,834.0991247423891,True,2025-05-29
MY825955,CUST96858,Customer_E243,user9470@example.com,Pune,Puma Gym T-Shirt,Men's Clothing,Trousers,Puma,XXL,Teal,Unisex,1538.26,599.4,4,2397.6,2025-05-23 01:51:00.135969,2.0,,106,EMI,Out for Delivery,2,False,,FLAT50,129.9212084709764,False,2025-05-23
MY925184,CUST52189,Customer_C234,user9706@example.com,Hyderabad,Bata Sandals,Accessories,Watches,Wrangler,7,Black,Female,1755.93,259.8,3,779.4,2026-04-01 01:51:00.135969,4.0,,75,COD,Cancelled,8,False,,WELCOME20,14.809970991704656,False,2026-04-01
MY959603,CUST93116,Customer_D404,user3302@example.com,Kolkata,Ray-Ban Sunglasses,Sports Wear,Shorts,Sassafras,6,Blue,Unisex,12318.51,7999.0,5,39995.0,2025-07-09 01:51:00.135969,5.0,,247,Net Banking,Delivered,8,False,,,0.0,False,2025-07-09
MY188404,CUST56156,Customer_A692,user458@example.com,Mumbai,Adidas Sports Bra,Footwear,Flip Flops,Nykaa,XL,Green,Male,2883.06,1899.0,2,3798.0,2026-01-31 01:51:00.135969,1.0,Good quality,456,Credit Card,Delivered,13,False,,FREESHIP,94.28881825878176,False,2026-01-31
